provinsi;tahun;sektor;kontribusi_sektor;
Sumatera Utara;2015;Adm. Pemerintahan;3.7;
Sumatera Utara;2015;Jasa Pendidikan;1.9;
Sumatera Utara;2015;Jasa Kesehatan;0.9;
Sumatera Utara;2015;Jasa Lainnya;0.5;
Sumatera Utara;2016;Pertanian;21.5;
Sumatera Utara;2016;Pertambangan;1.4;
Sumatera Utara;2016;Industri;20.0;
Sumatera Utara;2016;Pengadaan Listrik;0.1;
Sumatera Utara;2016;Pengadaan Air;0.1;
Sumatera Utara;2016;Konstruksi;13.5;
Sumatera Utara;2016;Perdagangan;17.8;
Sumatera Utara;2016;Transportasi;5.1;
Sumatera Utara;2016;Akmamin;2.4;
Sumatera Utara;2016;Informasi dan Komunikasi;1.9;
Sumatera Utara;2016;Jasa Keuangan;3.3;
Sumatera Utara;2016;Real Estat;4.7;
Sumatera Utara;2016;Jasa Perusahaan;1.0;
Sumatera Utara;2016;Adm. Pemerintahan;3.7;
Sumatera Utara;2016;Jasa Pendidikan;1.9;
Sumatera Utara;2016;Jasa Kesehatan;1.0;
Sumatera Utara;2016;Jasa Lainnya;0.6;
Sumatera Utara;2017;Pertanian;21.4;
Sumatera Utara;2017;Pertambangan;1.3;
Sumatera Utara;2017;Industri;20.3;
Sumatera Utara;2017;Pengadaan Listrik;0.1;
Sumatera Utara;2017;Pengadaan Air;0.1;
Sumatera Utara;2017;Konstruksi;13.7;
Sumatera Utara;2017;Perdagangan;17.5;
Sumatera Utara;2017;Transportasi;5.0;
Sumatera Utara;2017;Akmamin;2.4;
Sumatera Utara;2017;Informasi dan Komunikasi;2.0;
Sumatera Utara;2017;Jasa Keuangan;3.2;
Sumatera Utara;2017;Real Estat;5.0;
Sumatera Utara;2017;Jasa Perusahaan;1.0;
Sumatera Utara;2017;Adm. Pemerintahan;3.7;
Sumatera Utara;2017;Jasa Pendidikan;1.8;
Sumatera Utara;2017;Jasa Kesehatan;1.0;
Sumatera Utara;2017;Jasa Lainnya;0.6;
Sumatera Utara;2018;Pertanian;20.9;
Sumatera Utara;2018;Pertambangan;1.3;
Sumatera Utara;2018;Industri;20.0;
Sumatera Utara;2018;Pengadaan Listrik;0.1;
Sumatera Utara;2018;Pengadaan Air;0.1;
Sumatera Utara;2018;Konstruksi;13.9;
Sumatera Utara;2018;Perdagangan;18.1;
Sumatera Utara;2018;Transportasi;5.0;
Sumatera Utara;2018;Akmamin;2.4;
Sumatera Utara;2018;Informasi dan Komunikasi;2.0;
Sumatera Utara;2018;Jasa Keuangan;3.1;
Sumatera Utara;2018;Real Estat;5.0;
Sumatera Utara;2018;Jasa Perusahaan;1.0;
Sumatera Utara;2018;Adm. Pemerintahan;3.7;
Sumatera Utara;2018;Jasa Pendidikan;1.8;
Sumatera Utara;2018;Jasa Kesehatan;1.0;
Sumatera Utara;2018;Jasa Lainnya;0.6;
Sumatera Utara;2019;Pertanian;20.5;
Sumatera Utara;2019;Pertambangan;1.3;
Sumatera Utara;2019;Industri;19.0;
Sumatera Utara;2019;Pengadaan Listrik;0.1;
Sumatera Utara;2019;Pengadaan Air;0.1;
Sumatera Utara;2019;Konstruksi;14.2;
Sumatera Utara;2019;Perdagangan;18.8;
Sumatera Utara;2019;Transportasi;5.1;
Sumatera Utara;2019;Akmamin;2.4;
Sumatera Utara;2019;Informasi dan Komunikasi;2.1;
Sumatera Utara;2019;Jasa Keuangan;2.9;
Sumatera Utara;2019;Real Estat;5.1;
Sumatera Utara;2019;Jasa Perusahaan;1.1;
Sumatera Utara;2019;Adm. Pemerintahan;3.7;
Sumatera Utara;2019;Jasa Pendidikan;1.8;
Sumatera Utara;2019;Jasa Kesehatan;1.0;
Sumatera Utara;2019;Jasa Lainnya;0.6;
Sumatera Utara;2020;Pertanian;21.3;
Sumatera Utara;2020;Pertambangan;1.3;
Sumatera Utara;2020;Industri;19.3;
Sumatera Utara;2020;Pengadaan Listrik;0.1;
Sumatera Utara;2020;Pengadaan Air;0.1;
Sumatera Utara;2020;Konstruksi;13.6;
Sumatera Utara;2020;Perdagangan;18.9;
Sumatera Utara;2020;Transportasi;4.5;
Sumatera Utara;2020;Akmamin;2.2;
Sumatera Utara;2020;Informasi dan Komunikasi;2.3;
Sumatera Utara;2020;Jasa Keuangan;2.9;
Sumatera Utara;2020;Real Estat;5.3;
Sumatera Utara;2020;Jasa Perusahaan;1.1;
Sumatera Utara;2020;Adm. Pemerintahan;3.7;
Sumatera Utara;2020;Jasa Pendidikan;1.9;
Sumatera Utara;2020;Jasa Kesehatan;1.0;
Sumatera Utara;2020;Jasa Lainnya;0.6;
Sumatera Utara;2021;Pertanian;22.0;
Sumatera Utara;2021;Pertambangan;1.2;
Sumatera Utara;2021;Industri;19.5;
Sumatera Utara;2021;Pengadaan Listrik;0.1;
Sumatera Utara;2021;Pengadaan Air;0.1;
Sumatera Utara;2021;Konstruksi;13.5;
Sumatera Utara;2021;Perdagangan;18.9;
Sumatera Utara;2021;Transportasi;4.2;
Sumatera Utara;2021;Akmamin;2.1;
Sumatera Utara;2021;Informasi dan Komunikasi;2.3;
Sumatera Utara;2021;Jasa Keuangan;3.0;
Sumatera Utara;2021;Real Estat;5.1;
Sumatera Utara;2021;Jasa Perusahaan;1.0;
Sumatera Utara;2021;Adm. Pemerintahan;3.5;
Sumatera Utara;2021;Jasa Pendidikan;1.9;
Sumatera Utara;2021;Jasa Kesehatan;1.0;
Sumatera Utara;2021;Jasa Lainnya;0.5;
Sumatera Utara;2022;Pertanian;23.0;
Sumatera Utara;2022;Pertambangan;1.2;
Sumatera Utara;2022;Industri;19.1;
Sumatera Utara;2022;Pengadaan Listrik;0.1;
Sumatera Utara;2022;Pengadaan Air;0.1;
Sumatera Utara;2022;Konstruksi;13.2;
Sumatera Utara;2022;Perdagangan;19.0;
Sumatera Utara;2022;Transportasi;4.5;
Sumatera Utara;2022;Akmamin;2.0;
Sumatera Utara;2022;Informasi dan Komunikasi;2.3;
Sumatera Utara;2022;Jasa Keuangan;3.0;
Sumatera Utara;2022;Real Estat;4.9;
Sumatera Utara;2022;Jasa Perusahaan;1.1;
Sumatera Utara;2022;Adm. Pemerintahan;3.2;
Sumatera Utara;2022;Jasa Pendidikan;1.8;
Sumatera Utara;2022;Jasa Kesehatan;0.9;
Sumatera Utara;2022;Jasa Lainnya;0.6;
Sumatera Utara;2023;Pertanian;23.4;
Sumatera Utara;2023;Pertambangan;1.2;
Sumatera Utara;2023;Industri;18.6;
Sumatera Utara;2023;Pengadaan Listrik;0.1;
Sumatera Utara;2023;Pengadaan Air;0.1;
Sumatera Utara;2023;Konstruksi;13.2;
Sumatera Utara;2023;Perdagangan;19.1;
Sumatera Utara;2023;Transportasi;5.1;
Sumatera Utara;2023;Akmamin;2.1;
Sumatera Utara;2023;Informasi dan Komunikasi;2.3;
Sumatera Utara;2023;Jasa Keuangan;2.9;
Sumatera Utara;2023;Real Estat;4.7;
Sumatera Utara;2023;Jasa Perusahaan;1.1;
Sumatera Utara;2023;Adm. Pemerintahan;3.0;
Sumatera Utara;2023;Jasa Pendidikan;1.8;
Sumatera Utara;2023;Jasa Kesehatan;0.9;
Sumatera Utara;2023;Jasa Lainnya;0.6;
Sumatera Utara;2024;Pertanian;24.4;
Sumatera Utara;2024;Pertambangan;1.2;
Sumatera Utara;2024;Industri;18.4;
Sumatera Utara;2024;Pengadaan Listrik;0.1;
Sumatera Utara;2024;Pengadaan Air;0.1;
Sumatera Utara;2024;Konstruksi;13.0;
Sumatera Utara;2024;Perdagangan;18.8;
Sumatera Utara;2024;Transportasi;5.0;
Sumatera Utara;2024;Akmamin;2.2;
Sumatera Utara;2024;Informasi dan Komunikasi;2.3;
Sumatera Utara;2024;Jasa Keuangan;2.8;
Sumatera Utara;2024;Real Estat;4.6;
Sumatera Utara;2024;Jasa Perusahaan;1.0;
Sumatera Utara;2024;Adm. Pemerintahan;3.0;
Sumatera Utara;2024;Jasa Pendidikan;1.7;
Sumatera Utara;2024;Jasa Kesehatan;0.9;
Sumatera Utara;2024;Jasa Lainnya;0.6;
Sumatera Utara;2025;Pertanian;25.3;
Sumatera Utara;2025;Pertambangan;1.2;
Sumatera Utara;2025;Industri;18.4;
Sumatera Utara;2025;Pengadaan Listrik;0.1;
Sumatera Utara;2025;Pengadaan Air;0.1;
Sumatera Utara;2025;Konstruksi;12.1;
Sumatera Utara;2025;Perdagangan;19.0;
Sumatera Utara;2025;Transportasi;5.2;
Sumatera Utara;2025;Akmamin;2.2;
Sumatera Utara;2025;Informasi dan Komunikasi;2.3;
Sumatera Utara;2025;Jasa Keuangan;2.7;
Sumatera Utara;2025;Real Estat;4.4;
Sumatera Utara;2025;Jasa Perusahaan;1.1;
Sumatera Utara;2025;Adm. Pemerintahan;2.8;
Sumatera Utara;2025;Jasa Pendidikan;1.7;
Sumatera Utara;2025;Jasa Kesehatan;1.0;
Sumatera Utara;2025;Jasa Lainnya;0.5;
Sumatera Barat;2011;Pertanian;25.7;
Sumatera Barat;2011;Pertambangan;4.5;
Sumatera Barat;2011;Industri;11.7;
Sumatera Barat;2011;Pengadaan Listrik;0.1;
Sumatera Barat;2011;Pengadaan Air;0.1;
Sumatera Barat;2011;Konstruksi;8.0;
Sumatera Barat;2011;Perdagangan;15.1;
Sumatera Barat;2011;Transportasi;10.6;
Sumatera Barat;2011;Akmamin;1.0;
Sumatera Barat;2011;Informasi dan Komunikasi;5.4;
Sumatera Barat;2011;Jasa Keuangan;2.9;
Sumatera Barat;2011;Real Estat;2.0;
Sumatera Barat;2011;Jasa Perusahaan;0.4;
Sumatera Barat;2011;Adm. Pemerintahan;6.4;
Sumatera Barat;2011;Jasa Pendidikan;3.3;
Sumatera Barat;2011;Jasa Kesehatan;1.2;
Sumatera Barat;2011;Jasa Lainnya;1.5;
Sumatera Barat;2012;Pertanian;25.0;
Sumatera Barat;2012;Pertambangan;4.4;
Sumatera Barat;2012;Industri;11.5;
Sumatera Barat;2012;Pengadaan Listrik;0.1;
Sumatera Barat;2012;Pengadaan Air;0.1;
Sumatera Barat;2012;Konstruksi;8.4;
Sumatera Barat;2012;Perdagangan;15.1;
Sumatera Barat;2012;Transportasi;10.6;
Sumatera Barat;2012;Akmamin;1.0;
Sumatera Barat;2012;Informasi dan Komunikasi;5.6;
Sumatera Barat;2012;Jasa Keuangan;3.2;
Sumatera Barat;2012;Real Estat;1.9;
Sumatera Barat;2012;Jasa Perusahaan;0.4;
Sumatera Barat;2012;Adm. Pemerintahan;6.4;
Sumatera Barat;2012;Jasa Pendidikan;3.5;
Sumatera Barat;2012;Jasa Kesehatan;1.3;
Sumatera Barat;2012;Jasa Lainnya;1.5;
Sumatera Barat;2013;Pertanian;24.7;
Sumatera Barat;2013;Pertambangan;4.6;
Sumatera Barat;2013;Industri;11.0;
Sumatera Barat;2013;Pengadaan Listrik;0.1;
Sumatera Barat;2013;Pengadaan Air;0.1;
Sumatera Barat;2013;Konstruksi;8.8;
Sumatera Barat;2013;Perdagangan;14.8;
Sumatera Barat;2013;Transportasi;11.2;
Sumatera Barat;2013;Akmamin;1.1;
Sumatera Barat;2013;Informasi dan Komunikasi;5.3;
Sumatera Barat;2013;Jasa Keuangan;3.2;
Sumatera Barat;2013;Real Estat;1.9;
Sumatera Barat;2013;Jasa Perusahaan;0.4;
Sumatera Barat;2013;Adm. Pemerintahan;6.3;
Sumatera Barat;2013;Jasa Pendidikan;3.7;
Sumatera Barat;2013;Jasa Kesehatan;1.3;
Sumatera Barat;2013;Jasa Lainnya;1.6;
Sumatera Barat;2014;Pertanian;25.0;
Sumatera Barat;2014;Pertambangan;4.9;
Sumatera Barat;2014;Industri;10.6;
Sumatera Barat;2014;Pengadaan Listrik;0.1;
Sumatera Barat;2014;Pengadaan Air;0.1;
Sumatera Barat;2014;Konstruksi;9.1;
Sumatera Barat;2014;Perdagangan;14.4;
Sumatera Barat;2014;Transportasi;11.8;
Sumatera Barat;2014;Akmamin;1.1;
Sumatera Barat;2014;Informasi dan Komunikasi;5.1;
Sumatera Barat;2014;Jasa Keuangan;3.1;
Sumatera Barat;2014;Real Estat;2.0;
Sumatera Barat;2014;Jasa Perusahaan;0.4;
Sumatera Barat;2014;Adm. Pemerintahan;5.9;
Sumatera Barat;2014;Jasa Pendidikan;3.6;
Sumatera Barat;2014;Jasa Kesehatan;1.3;
Sumatera Barat;2014;Jasa Lainnya;1.6;
Sumatera Barat;2015;Pertanian;24.7;
Sumatera Barat;2015;Pertambangan;4.8;
Sumatera Barat;2015;Industri;10.2;
